Name,Material,Spec,Quantity,Unit,Remarks,Time
,配件,弹片,56000,个,,2020-07-06 13:22:09
,配件,角码（银色B片，1.0厚）,25000,个,,2020-07-06 13:21:14
,配件,方形挂钩（银色）,45000,个,,2020-07-06 13:20:24
,型材,PF16-20（宽）*40（高）-3.02米,553,根,,2020-07-06 13:04:47
,铝合金,ZA33-铬化（3.07米）,1064,根,,2020-06-29 13:59:16
,方料,20*40-3.06米,828,根,,2020-06-29 13:58:15
,型材,LF02-30*50-3.06米,827,根,,2020-06-29 13:56:46
,型材,PF12-22*20-3.02米,1080,根,,2020-06-29 13:48:00
,型材,LF03-30*35（5）-3.02米,1079,根,,2020-06-29 13:47:10
,型材,PF04-15*28-3.02米,999,根,,2020-06-29 13:45:22
,型材,LF01-25*45-3.02米,998,根,,2020-06-29 13:44:40
,配件,螺丝银色（6*6）,100000,颗,,2020-06-29 11:21:04
,配件,螺丝白锌（5*5）,1120000,颗,,2020-06-29 11:11:40
,配件,螺丝白锌（6*5）,40000,颗,,2020-06-29 11:10:33
,配件,方形挂钩（银色）,131800,个,,2020-06-29 11:07:15
,配件,角码（银色B片，1.0厚）,131500,个,,2020-06-29 11:06:08
,配件,角码（银色A片，2.3厚）,238000,个,,2020-06-29 11:05:05
,辅料,无纺布（80cm*10克）,18,卷,,2020-06-29 10:32:54
,辅料,珍珠棉,15,卷,,2020-06-29 10:32:10
,胶水,PUR胶,6,桶,,2020-06-29 10:31:32
,胶水,EVA胶,43,袋,,2020-06-29 10:31:04
,型材,PF36-15*80(15*110),100,个,,2020-06-29 10:04:49
,型材,PF36-15*80(15*90),200,个,,2020-06-29 10:04:03
,纸箱,切割小纸箱（软）3300*170*120,461,个,,2020-06-25 12:48:28
,纸箱,330*170*120软,461,个,,2020-06-25 12:38:30
,纸箱,小纸箱（硬）3300*160*110,661,个,,2020-06-25 12:36:32
,纸箱,大纸箱3300*210*170,1870,个,,2020-06-25 12:36:07
,型材,PF02-20*35-3米,5781,根,,2020-06-25 12:28:35
,型材,PF03-15*35-1.9米,13817,根,,2020-06-25 12:26:00
,型材,LF03-30*35（7）-3.02米,88,根,,2020-06-25 12:23:04
,型材,LF03-30*35（5）-3.06米,1103,根,,2020-06-25 12:22:37
,型材,LF03-30*35（5）-3.02米,1956,根,,2020-06-25 12:19:39
,型材,LF02-30*50-3.06米,480,根,,2020-06-25 12:18:58
,型材,LF02-30*50-3.02米,3956,根,,2020-06-25 12:18:26
,型材,LF01-25*45-3.02米,100,根,,2020-06-25 12:17:54
,型材,YS108-20*35*-3.02米,260,根,,2020-06-25 12:16:56
,型材,PF26-28（宽）*21（高）-3.02米,252,根,,2020-06-25 12:16:18
,型材,PF23-18(宽）*40（高）-3.06米,1304,根,,2020-06-25 12:15:06
,型材,PF23-18（宽）*40（高）-3.02米,583,根,,2020-06-25 12:11:05
,型材,PF22-20（宽11.4）*40（高）-3.02米,433,根,,2020-06-25 12:10:34
,型材,PF09-20*50.8-3.02米,160,根,,2020-06-25 12:10:09
,型材,PF08-48*28-3.02米,615,根,,2020-06-25 12:09:41
,型材,PF07-28*48-3.02米,599,根,,2020-06-25 12:09:07
,型材,PF06-28*33-3.02米,968,根,,2020-06-25 12:08:30
,型材,PF05-15*40-3.02米,1216,根,,2020-06-25 12:07:46
,型材,PF04-15*28-3.02米,1610,根,,2020-06-25 12:07:12
,型材,PF01-18*33-3.02米,2470,根,,2020-06-25 12:06:50
,板材,奥松板（密度板）1220*2440*3mm,96,张,,2020-06-25 12:03:19
,方料,19*38-1.835米,1512,根,,2020-06-25 11:59:24
,方料,23*43-3.02米,3042,根,,2020-06-25 11:58:34
,方料,31*35.5-3.02米,3240,根,,2020-06-25 11:57:44
,方料,20*22-3.02米,1960,根,,2020-06-25 11:57:09
,方料,21*30-3.02米,4401,根,,2020-06-25 11:56:42
,方料,29*49-3.02米,10884,根,,2020-06-25 11:51:45
,方料,31*52.5-3.06米,3126,根,,2020-06-25 11:38:56
,方料,31*35.5-3.02米,409,根,,2020-06-25 11:31:14
,方料,31*35.5-3.06米,896,根,,2020-06-25 11:21:31
,方料,19*35（34）-3.02米,5038,根,,2020-06-25 11:03:30
,方料,21*30-3.02米,348,根,,2020-06-25 11:02:59
,方料,23*43-3.02米,664,根,,2020-06-25 11:02:30
,方料,29*34-3.02米,1188,根,,2020-06-25 11:01:57
,方料,25*47-3.02米,1000,根,,2020-06-25 11:00:40
,方料,31*36.5-3.02米,409,根,,2020-06-25 11:00:17
,方料,31*36.5-3.06米,896,根,,2020-06-25 10:59:47
,方料,16*43-3.02米,3920,根,,2020-06-25 10:59:10
,方料,21*62-3.02米,2656,根,,2020-06-25 10:58:43
,方料,19*42-3.02米（无指接松木）,1295,根,,2020-06-25 10:58:17
,方料,21*52-3.02米,1380,根,,2020-06-25 10:57:50
,方料,15*28-3.02米,2995,根,,2020-06-25 10:56:49
,方料,29*34-3.02米,1022,根,,2020-06-25 10:56:16
,方料,23*41-3.02米,1740,根,,2020-06-25 10:55:16
,方料,20*40-3.06米,1490,根,,2020-06-25 10:31:18
,方料,13*43-3.02米,1518,根,,2020-06-25 10:29:27
,方料,23*43-3.02米,1740,根,,2020-06-25 10:26:25
,方料,31*53-3.06米,3126,根,,2020-06-25 10:24:57
,方料,13*43-3.02米,3,根,,2020-06-25 10:21:47
,方料,LVL 21*19*2.43米,1152,根,,2020-06-25 10:19:26
,方料,21*22-3.02米,11615,根,,2020-06-25 10:05:10
,方料,15*35.5-3.02米,1550,根,,2020-06-25 10:04:26
,型材,PF31-20*22-12U-2.43米（LVL）,1094,根,,2020-06-25 09:44:03
,铝合金,350-喷砂三酸拉丝亮银（3.05米）,60,根,,2020-06-25 09:25:09
