ID,Material,Spec,Quantity,Unit
149,型材,"LF 03-30✘35,前宽7mm ",0,根
150,型材,LF 03-30✘35✘3.02米，前宽7MM,0,根
48,型材,LF01-25*45-3米,2431,根
50,型材,LF02-30*50-3.06米,1192,根
49,型材,LF02-30*50-3米,1830,根
51,型材,LF03-30*35-3米,5652,根
20,型材,PF01-18*33-3米,1337,根
21,型材,PF02-20（面宽）*35（高度）-3米,6496,根
22,型材,PF03-20*35-3米（内衬条）,1,根
23,型材,PF04-15*28-3米,820,根
24,型材,PF05-15*40-3米,314,根
25,型材,PF06-28*33-3米,2066,根
26,型材,PF07-28*48-3米,1172,根
27,型材,PF08-48*28-3米,329,根
28,型材,PF09-20*50.8-3米,476,根
29,型材,PF10-40（宽）*22（高）-3米,0,根
30,型材,PF11-22*30-3米,1550,根
31,型材,PF12-22*20-3米,0,根
32,型材,PF13-13*40-3米,0,根
33,型材,PF14-13*16-3米,0,根
34,型材,PF15-20*60-3米,0,根
35,型材,PF16-21（宽）*40（高）-3米,0,根
36,型材,PF17-30*35-3米（圆弧）,0,根
37,型材,PF18-30*35-3米（斜面）,0,根
38,型材,PF19-30（面宽）*22（高度）-3米,0,根
39,型材,PF20-30*52（28*48扩大板）-3米,0,根
40,型材,PF21-30*35（18*33扩大板）-3米,0,根
41,型材,PF22-20（面宽11.4）*40（高度）-3米（烟台蒋）,0,根
42,型材,PF23-18（面宽）*40（高度）-3米,0,根
43,型材,PF24-18（面宽）*22（高度）-3米,0,根
44,型材,PF25-35*30-3米（内衬条）,0,根
45,型材,PF26-28（面宽）*21（高度）-3米,0,根
46,型材,PF27-18*28-3米,0,根
47,型材,PF28-40*84,0,根
6,方料,13*43-3.02米,0,根
7,方料,15*28-3.02米,3329,根
19,方料,16*36.5-1.9米,0,根
146,方料,16✘43✘3.02,9961,根
3,方料,19*35-3.02米,1870,根
17,方料,19*42-3.05米（无指接松木）,0,根
12,方料,21*22-3.02米,0,根
9,方料,21*36.5-3.02米,9155,根
16,方料,21*40-3.02米,4436,根
10,方料,21*62-3.02米,738,根
143,方料,21X 40X 3.06米,1409,根
8,方料,22*31-3.02米,2172,根
14,方料,22*53-3.02米,0,根
15,方料,23*41-3.02米,10282,根
145,方料,23✘53✘3020,3680,根
144,方料,25 X 48X 3.02米,1200,根
13,方料,25*47.5-3.02米,0,根
147,方料,29✘353✘3.02米,0,根
148,方料,29✘35✘3.02米,2720,根
4,方料,30*48-3.02米,9537,根
11,方料,31*35-3.02米,0,根
5,方料,31*36.5-3.02米,2670,根
1,方料,31*53-3.02米,0,根
2,方料,31*53-3.06米,1470,根
18,方料,45*85-米（无指接松木）,0,根
151,木皮,01#雪花木7cm ,0,米
152,木皮,01#雪花木8cm ,0,米
171,木皮,02#橡木609S (9.2cm ),1005,米
114,木皮,05#麦格利38Q   ( 14cm),0,米
115,木皮,05#麦格利38Q   ( 16cm),0,米
116,木皮,05#麦格利38Q   ( 26cm),0,米
117,木皮,05#麦格利38Q   ( 30cm),0,米
111,木皮,05#麦格利38Q   ( 6.5cm),0,米
112,木皮,05#麦格利38Q   ( 8cm),0,米
113,木皮,05#麦格利38Q   ( 9.2cm),0,米
126,木皮,1#雪花木（16cm),1250,米
125,木皮,1#雪花木（30cm),851,米
128,木皮,1#雪花木（4cm),800,米
127,木皮,1#雪花木（5.5cm),400,米
155,木皮,1#雪花木（7cm),3300,米
157,木皮,1#雪花木（8cm ）,3108,米
186,木皮,10#黑檀2427S (16cm ),3688,米
185,木皮,10#黑檀2427S (26cm ),1458,米
187,木皮,10#黑檀2427S (9.2cm ),335,米
188,木皮,10黑檀2427S (14cm ),300,米
192,木皮,10黑檀2427S (4cm ),923,米
191,木皮,10黑檀2427S (5.5cm ),849,米
190,木皮,10黑檀2427S (5.5cm ),849,米
189,木皮,10黑檀2427S (8cm ),1740,米
165,木皮,11#秋香801c (14cm),0,米
164,木皮,11#秋香801c (16cm),0,米
163,木皮,11#秋香801c (30cm),1270,米
168,木皮,11#秋香801c (6.5cm),235,米
167,木皮,11#秋香801c (8cm),0,米
166,木皮,11#秋香801c (9.2cm),0,米
193,木皮,12#斑马2078S (26cm ),240,米
194,木皮,12#斑马2078S (6.5cm ),235,米
160,木皮,14#银梨1Q （14cm ）,0,米
161,木皮,14#银梨1Q （16cm ）,0,米
162,木皮,14#银梨1Q （30cm ）,3050,米
158,木皮,14#银梨1Q （8cm ）,0,米
159,木皮,14#银梨1Q （9.2cm ）,0,米
153,木皮,15,0,米
154,木皮,15#铁刀2238Q（26cm),0,米
133,木皮,15#铁刀2238Q（30cm),1058,米
195,木皮,16#秋香09S (26cm ),2318,米
196,木皮,16#秋香09S (30cm ),0,米
198,木皮,16#秋香09S (8cm ),1114,米
197,木皮,16#秋香09S (9.2cm ),1074,米
131,木皮,17#雀巢52N（30cm),1576,米
132,木皮,17#雀巢52N（6.5cm),1006,米
202,木皮,18#橡木108DS(14cm ),1860,米
201,木皮,18#橡木108DS(16cm ),2680,米
200,木皮,18#橡木108DS(26cm ),1264,米
199,木皮,18#橡木108DS(30cm ),2010,米
206,木皮,18#橡木108DS(4cm ),2010,米
205,木皮,18#橡木108DS(5.5cm ),1305,米
204,木皮,18#橡木108DS(8cm ),9575,米
203,木皮,18#橡木108DS(9.2cm ),6062,米
209,木皮,19#榆木12-2S (14cm ),2400,米
208,木皮,19#榆木12-2S (16cm ),4675,米
215,木皮,19#榆木12-2S (26cm ),335,米
207,木皮,19#榆木12-2S (31cm ),2248,米
214,木皮,19#榆木12-2S (4cm ),320,米
213,木皮,19#榆木12-2S (5.5cm ),0,米
212,木皮,19#榆木12-2S (6.5cm ),0,米
211,木皮,19#榆木12-2S (8cm ),0,米
210,木皮,19#榆木12-2S (9.2cm ),0,米
173,木皮,2# 橡木609S (26cm ),2455,米
93,木皮,2#橡木609S   ( 14cm),0,米
94,木皮,2#橡木609S   ( 16cm),0,米
95,木皮,2#橡木609S   ( 26cm),0,米
96,木皮,2#橡木609S   ( 30cm),0,米
90,木皮,2#橡木609S   ( 6.5cm),0,米
91,木皮,2#橡木609S   ( 8cm),0,米
92,木皮,2#橡木609S   ( 9.2cm),0,米
172,木皮,2#橡木609S 4(cm ),364,米
218,木皮,20#黑木(14cm ),0,米
217,木皮,20#黑木(16cm ),300,米
216,木皮,20#黑木(31cm ),5882,米
221,木皮,20#黑木(5.5cm ),133,米
222,木皮,20#黑木(6.5cm ),3042,米
220,木皮,20#黑木(8cm ),1340,米
219,木皮,20#黑木(9.2cm ),3858,米
130,木皮,21#白木（16cm),242,米
129,木皮,21#白木（30cm),1519,米
223,木皮,22#银橡7S (30cm ),250,米
224,木皮,22#银橡7S (9.2cm ),352,米
226,木皮,23黑橡24S (16cm ),1005,米
225,木皮,23黑橡24S (30cm ),750,米
228,木皮,23黑橡24S (4cm ),1005,米
