Name,Material,Spec,Quantity,Unit,Remarks,Time
,纸箱,大纸箱3300*210*170,11,个,,2020-07-06 13:34:26
,配件,弹片,2000,个,,2020-07-06 13:33:16
,配件,方形挂钩（银色）,800,个,,2020-07-06 13:29:56
,配件,角码（银色B片，1.0厚）,1500,个,,2020-07-06 13:28:58
,配件,角码（银色A片，2.3厚）,1500,个,,2020-07-06 13:27:59
,型材,PF16-20（宽）*40（高）-3.02米,529,根,,2020-07-06 13:27:10
,铝合金,ZA33-铬化（3.07米）,20,根,,2020-07-06 13:23:59
,铝合金,350-铬化（3.07米）,83,根,,2020-07-06 13:23:20
,辅料,珍珠棉,1,卷,,2020-06-29 14:38:17
,胶水,EVA胶,2,袋,,2020-06-29 14:37:49
,纸箱,小纸箱（硬）3300*160*110,4,个,,2020-06-29 14:37:06
,纸箱,大纸箱3300*210*170,30,个,,2020-06-29 14:36:06
,方料,20*40-3.02米,554,根,,2020-06-29 14:32:59
,型材,LF03-30*35（5）-3.02米,2001,根,,2020-06-29 14:32:00
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,5,根,,2020-06-29 14:29:04
,铝合金,350-铬化（3.07米）,10,根,,2020-06-29 14:27:37
,铝合金,350-黑砂纹（3.07米）,17,根,,2020-06-29 14:26:36
,铝合金,350-白砂纹（3.07米）,20,根,,2020-06-29 14:26:05
,胶水,PUR胶,1,桶,,2020-06-29 14:22:33
,配件,小眼挂钩（银色）,512,个,,2020-06-29 14:21:37
,配件,角码（银色A片，2.3厚）,2500,个,,2020-06-29 14:20:49
,胶水,EVA胶,2,袋,,2020-06-29 14:19:13
,纸箱,大纸箱3300*210*170,20,个,,2020-06-29 14:18:21
,纸箱,小纸箱（硬）3300*160*110,14,个,,2020-06-29 14:17:54
,型材,PF10-40(宽）*22（高）-3.02米,140,根,,2020-06-29 14:17:11
,型材,LF02-30*50-3.02米,692,根,,2020-06-29 14:15:36
,型材,PF01-18*33-3.02米,108,根,,2020-06-29 14:15:00
,型材,PF07-28*48-3.02米,72,根,,2020-06-29 14:14:28
,铝合金,350-铬化（3.07米）,40,根,,2020-06-29 14:10:00
,铝合金,320-铬化（3.07米）,80,根,,2020-06-29 14:07:07
,铝合金,ZA33-铬化（3.07米）,727,根,,2020-06-29 14:05:18
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,40,根,,2020-06-29 14:04:21
,铝合金,350-白砂纹（3.07米）,40,根,,2020-06-29 14:03:23
,铝合金,320-喷砂拉丝亚黑（3.05米）,40,根,,2020-06-29 14:02:28
,铝合金,320-喷砂三酸拉丝亮金（3.05米）,55,根,,2020-06-29 14:01:29
,铝合金,350-喷砂三酸拉丝亮金（3.05米）,120,根,,2020-06-29 14:00:36
,辅料,无纺布（80cm*10克）,1,卷,,2020-06-29 13:55:59
,方料,31*52.5-3.06米,828,根,,2020-06-29 13:54:40
,纸箱,大纸箱3300*210*170,4,个,,2020-06-29 13:53:59
